scenario_id,operation,route,measured,started_at,finished_at,duration_ms,first_byte_ms,status_code,expected_status,success,response_bytes,correlation_id,error_code
V00,EXPORT,GET /reports/version/export (oqc_summary/csv),True,2026-09-17T13:07:39.416280+00:00,2026-09-17T13:07:39.480881+00:00,64.589941,64.196203,200,200,True,196558,ff7abe4e-ede5-4bc9-a2d0-28a37f88c2c3,
V00,EXPORT,GET /reports/version/export (oqc_summary/json),True,2026-09-17T13:07:39.480941+00:00,2026-09-17T13:07:39.538140+00:00,57.19058,56.157003,200,200,True,381093,3aace5ab-de12-4a3e-84e5-c9a04ca253b1,
V00,REPORT,POST /reports (workorder_consolidated),True,2026-09-17T13:07:39.538245+00:00,2026-09-17T13:07:39.601515+00:00,63.260321,63.113229,201,201,True,17415,a983a584-f186-44a0-83d5-16d302e75154,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/csv),True,2026-09-17T13:07:39.601755+00:00,2026-09-17T13:07:39.635569+00:00,33.804773,33.616013,200,200,True,11835,833d484d-bb04-49b9-b215-c8c22263c715,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/json),True,2026-09-17T13:07:39.635629+00:00,2026-09-17T13:07:39.672721+00:00,37.083073,36.87399,200,200,True,25727,d5276bb4-f65b-45d0-a768-43c3f1ee4eb2,
V00,REPORT,POST /reports (oqc_summary),True,2026-09-17T13:07:39.672809+00:00,2026-09-17T13:07:39.730680+00:00,57.862976,57.33008,201,201,True,261218,02763c8f-0e7a-43cd-a58d-2ae3945b7afe,
V00,EXPORT,GET /reports/version/export (oqc_summary/csv),True,2026-09-17T13:07:39.732622+00:00,2026-09-17T13:07:39.797493+00:00,64.859409,64.483136,200,200,True,196558,3f82329d-6ae8-447f-8ad5-2786d37b3b22,
V00,EXPORT,GET /reports/version/export (oqc_summary/json),True,2026-09-17T13:07:39.797540+00:00,2026-09-17T13:07:39.852322+00:00,54.776013,53.892822,200,200,True,381093,4ed8b750-9555-419f-ae22-d72e3d3ac189,
V00,REPORT,POST /reports (workorder_consolidated),True,2026-09-17T13:07:39.852400+00:00,2026-09-17T13:07:39.913794+00:00,61.386366,61.236627,201,201,True,17415,44e95c99-ec3c-460a-a7d0-53b3e029d7e0,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/csv),True,2026-09-17T13:07:39.914023+00:00,2026-09-17T13:07:39.939916+00:00,25.882776,25.710258,200,200,True,11835,567fa6d0-ea76-473d-93d0-b12cc9806837,
V00,EXPORT,GET /reports/version/export (workorder_consolidated/json),True,2026-09-17T13:07:39.939982+00:00,2026-09-17T13:07:39.979435+00:00,39.442631,39.203702,200,200,True,25727,02f8c9a4-1d83-42eb-bced-400f82de291f,
V00,REPORT,POST /reports (oqc_summary),True,2026-09-17T13:07:39.979512+00:00,2026-09-17T13:07:40.058911+00:00,79.388849,78.90715,201,201,True,261218,628e70ac-914b-42ca-8c55-e1efedb6f11c,
V00,EXPORT,GET /reports/version/export (oqc_summary/csv),True,2026-09-17T13:07:40.060746+00:00,2026-09-17T13:07:40.115234+00:00,54.475174,54.130548,200,200,True,196558,5a170e44-21e4-4563-add0-9b50a89a07c4,
V00,EXPORT,GET /reports/version/export (oqc_summary/json),True,2026-09-17T13:07:40.115295+00:00,2026-09-17T13:07:40.172762+00:00,57.458525,56.749774,200,200,True,381093,c1454845-8c1c-4525-8146-56d6f35dfea7,
V00,ORACLE,GET /executions/{id},False,2026-09-17T13:07:40.197186+00:00,2026-09-17T13:07:40.233731+00:00,36.533631,36.34201,200,200,True,1631,9cafc4e1-3d01-4445-907c-71fad2d9e50a,
V00,ORACLE,GET /executions/{id}/classifications,False,2026-09-17T13:07:40.233875+00:00,2026-09-17T13:07:40.306948+00:00,73.059454,72.161153,200,200,True,690628,79160d01-ce5f-418c-bb4d-296bb9b4fb8d,
V00,ORACLE,GET /executions/{id}/classifications,False,2026-09-17T13:07:40.313782+00:00,2026-09-17T13:07:40.377697+00:00,63.902308,63.754974,200,200,True,34684,a7dcc79f-f60e-461b-acad-1e1c9084fe3d,
V00,ORACLE,GET /executions/{id}/pending-items,False,2026-09-17T13:07:40.386778+00:00,2026-09-17T13:07:40.430206+00:00,43.41115,43.190977,200,200,True,88,93261894-6a2b-423e-840c-949f63d666bf,
V00,ORACLE,GET report (workorder_consolidated),False,2026-09-17T13:07:40.430333+00:00,2026-09-17T13:07:40.471431+00:00,41.084192,40.81135,200,200,True,17424,ff0c7052-b458-4615-821f-f79e1e3c0602,
V00,ORACLE,GET report export (workorder_consolidated/json),False,2026-09-17T13:07:40.472985+00:00,2026-09-17T13:07:40.511541+00:00,38.531741,38.366501,200,200,True,25727,96cb35d6-3c1b-4184-bf94-f3057d8bcbf7,
V00,ORACLE,GET report export (workorder_consolidated/csv),False,2026-09-17T13:07:40.512277+00:00,2026-09-17T13:07:40.555464+00:00,43.177297,42.944496,200,200,True,11835,5ed44d02-7e04-4e17-9175-0d251f27f45f,
V00,ORACLE,GET report (oqc_summary),False,2026-09-17T13:07:40.559799+00:00,2026-09-17T13:07:40.614218+00:00,54.39641,53.767113,200,200,True,261227,07875bd4-33d4-45db-96cc-450d9f60f3c1,
V00,ORACLE,GET report export (oqc_summary/json),False,2026-09-17T13:07:40.628380+00:00,2026-09-17T13:07:40.685579+00:00,57.18238,56.32109,200,200,True,381093,53e5a9a5-4784-4414-911d-0200eea21d86,
V00,ORACLE,GET report export (oqc_summary/csv),False,2026-09-17T13:07:40.696452+00:00,2026-09-17T13:07:40.745888+00:00,49.424307,49.193689,200,200,True,196558,4623f3e4-a451-49a5-8f44-1ee401c1173a,
